,year,violent,cauc,population,income,density,state,law
1,1977,414.4,55.12291,3.780403,9563.148,0.0745524,Alabama,no
2,1978,419.1,55.14367,3.831838,9932,0.0755667,Alabama,no
3,1979,413.3,55.13586,3.866248,9877.028,0.0762453,Alabama,no
4,1980,448.5,54.91259,3.900368,9541.428,0.0768288,Alabama,no
5,1981,470.5,54.92513,3.918531,9548.351,0.0771866,Alabama,no
6,1982,447.7,54.89621,3.925229,9478.919,0.0773185,Alabama,no
7,1983,416,54.83936,3.934103,9783,0.0774933,Alabama,no
8,1984,431.2,54.77876,3.951826,10357.2,0.0778424,Alabama,no
9,1985,457.5,54.67899,3.97252,10725.86,0.07825,Alabama,no
10,1986,558,54.51791,3.991562,11091.62,0.0786251,Alabama,no
11,1987,559.2,54.3877,4.015257,11323.82,0.0790919,Alabama,no
12,1988,558.6,54.23505,4.023848,11654.96,0.0792611,Alabama,no
13,1989,590.8,54.06622,4.030224,11963.9,0.0793867,Alabama,no
14,1990,708.6,56.07016,4.048508,12063.98,0.0797736,Alabama,no
15,1991,844.2,55.97353,4.091025,12087.82,0.0806113,Alabama,no
16,1992,871.7,55.80952,4.139269,12398.02,0.081562,Alabama,no
17,1993,780.4,55.66076,4.193114,12395.8,0.0826229,Alabama,no
18,1994,683.7,55.50783,4.232965,12673.92,0.0834082,Alabama,no
19,1995,632.4,55.33187,4.262731,12872.68,0.0839947,Alabama,no
20,1996,565.4,55.3142,4.290403,12908.91,0.08454,Alabama,no
21,1997,564.5,55.15972,4.320281,13121.11,0.0851287,Alabama,no
22,1998,512.1,55.25745,4.351037,13514.1,0.0857347,Alabama,no
23,1999,490.2,55.29781,4.369862,13737.26,0.0861057,Alabama,no
24,1977,443.2,62.1413,0.403437,20296.83,0.0007083,Alaska,no
25,1978,441.9,62.65009,0.404764,19044.99,0.0007106,Alaska,no
26,1979,491.1,63.09599,0.402753,18115.89,0.0007071,Alaska,no
27,1980,436,62.7206,0.405315,17901.66,0.00071,Alaska,no
28,1981,615.8,62.80371,0.418488,18075.23,0.0007331,Alaska,no
29,1982,623.7,62.89593,0.449611,18967.13,0.0007876,Alaska,no
30,1983,613.8,62.86964,0.488417,19045,0.0008556,Alaska,no
31,1984,621.6,62.41428,0.513703,18590.22,0.0008999,Alaska,no
32,1985,581.8,61.88262,0.532492,18705.2,0.0009328,Alaska,no
33,1986,570.4,61.2697,0.544269,17906.39,0.0009535,Alaska,no
34,1987,455.4,60.43927,0.53931,16955.92,0.0009448,Alaska,no
35,1988,522.8,60.09351,0.541982,16740.64,0.0009495,Alaska,no
36,1989,497.7,59.82404,0.547153,17285.38,0.0009585,Alaska,no
37,1990,524.5,60.08334,0.55312,17311.88,0.0009697,Alaska,no
38,1991,613.9,60.35909,0.569273,17005.98,0.0009981,Alaska,no
39,1992,660.5,60.75548,0.587073,16978.23,0.0010293,Alaska,no
40,1993,760.8,60.76018,0.596993,17067.91,0.0010467,Alaska,no
41,1994,766.3,60.87202,0.600624,16970.02,0.001053,Alaska,no
42,1995,770.9,61.20048,0.601345,16871.89,0.0010543,Alaska,yes
43,1996,727.7,61.23177,0.604918,16546.19,0.0010606,Alaska,yes
44,1997,701.1,61.00919,0.608846,16816.68,0.0010675,Alaska,yes
45,1998,653.9,60.74545,0.615205,17077.45,0.0010786,Alaska,yes
46,1999,631.5,60.55464,0.6195,17120.14,0.0010861,Alaska,yes
47,1977,494.2,66.61958,2.425197,10919.45,0.021383,Arizona,no
48,1978,552.1,66.48782,2.515318,11591.41,0.0221776,Arizona,no
49,1979,593,66.49958,2.63557,11804.69,0.0232379,Arizona,no
50,1980,650.9,66.15736,2.737774,11594.31,0.0241197,Arizona,no
51,1981,575.8,66.35718,2.810127,11681.17,0.0247571,Arizona,no
52,1982,517,66.18365,2.889865,11295.24,0.0254596,Arizona,no
53,1983,494.2,65.86687,2.968928,11654,0.0261561,Arizona,no
54,1984,516.1,65.58672,3.067142,12356.72,0.0270214,Arizona,no
55,1985,602.5,65.33994,3.183535,12786.21,0.0280468,Arizona,no
56,1986,658.3,65.11162,3.308262,13146.87,0.0291456,Arizona,no
57,1987,612.6,64.77774,3.437102,13269.01,0.0302807,Arizona,no
58,1988,610.1,64.44434,3.535179,13299.39,0.0311448,Arizona,no
59,1989,599.6,63.91225,3.622176,13304.1,0.0319112,Arizona,no
60,1990,652.4,64.84599,3.679056,13114.78,0.0323741,Arizona,no
61,1991,670.7,64.48261,3.762394,12838.55,0.0331074,Arizona,no
62,1992,670.8,64.29301,3.867333,12873.01,0.0340308,Arizona,no
63,1993,715,64.02615,3.99339,12922.88,0.0351401,Arizona,no
64,1994,703.1,64.19139,4.147561,13288.13,0.0364967,Arizona,no
65,1995,713.5,64.04899,4.306908,13494.64,0.0378989,Arizona,yes
66,1996,631.5,63.88958,4.432308,13722.99,0.0390024,Arizona,yes
67,1997,623.7,64.03395,4.552207,14146.38,0.0400574,Arizona,yes
68,1998,577.9,63.87193,4.667277,14745.26,0.04107,Arizona,yes
69,1999,551.2,63.80436,4.778332,15053.45,0.0420472,Arizona,yes
70,1977,322.9,59.49733,2.20901,9321.481,0.0425259,Arkansas,no
71,1978,344.1,59.49071,2.243125,9945.752,0.0431827,Arkansas,no
72,1979,366.2,59.47256,2.271335,9724.736,0.0437258,Arkansas,no
73,1980,335.2,59.40872,2.288738,9171.474,0.0439483,Arkansas,no
74,1981,310.3,59.39111,2.293195,9386.144,0.0440339,Arkansas,no
75,1982,324.7,59.34017,2.294262,9238.463,0.0440543,Arkansas,no
76,1983,297.7,59.31244,2.305754,9476,0.044275,Arkansas,no
77,1984,321.4,59.3006,2.319774,10127.04,0.0445442,Arkansas,no
78,1985,347.6,59.18848,2.327044,10430.46,0.0446838,Arkansas,no
79,1986,394.8,59.12255,2.33199,10666.21,0.0447788,Arkansas,no
80,1987,412,59.08031,2.342359,10685.37,0.0449779,Arkansas,no
81,1988,422.7,58.94504,2.342638,10959.47,0.0449833,Arkansas,no
82,1989,473.7,58.81361,2.346387,11091.84,0.0450552,Arkansas,no
83,1990,532.2,61.01876,2.354343,11055.86,0.0452106,Arkansas,no
84,1991,593.3,60.95456,2.370666,11151.41,0.0455241,Arkansas,no
85,1992,576.5,60.80524,2.394098,11661.75,0.045974,Arkansas,no
86,1993,593.3,60.91962,2.423743,11709.56,0.0465433,Arkansas,no
87,1994,595.1,61.00677,2.450605,11928,0.0470591,Arkansas,no
88,1995,553.2,60.96267,2.480121,12129.08,0.0476259,Arkansas,no
89,1996,524,60.96302,2.504858,12345.67,0.048101,Arkansas,yes
90,1997,526.9,61.0488,2.524007,12561.59,0.0484687,Arkansas,yes
91,1998,490.2,61.09908,2.538202,12987.42,0.0487413,Arkansas,yes
92,1999,425.2,61.2114,2.551373,13295.33,0.0489942,Arkansas,yes
93,1977,706,65.51936,22.3524,14089.08,0.1429538,California,no
94,1978,742.9,65.27907,22.83596,14696.3,0.1460464,California,no
95,1979,811.1,64.99982,23.25689,14880.71,0.1487384,California,no
96,1980,893.6,64.43827,23.8008,14543.06,0.1522774,California,no
97,1981,863,64.16476,24.28594,14472.68,0.1553813,California,no
98,1982,814.7,63.59418,24.82001,14214.77,0.1587982,California,no
99,1983,772.6,63.02439,25.36002,14491,0.1622533,California,no
100,1984,763.4,62.47379,25.84439,15273.99,0.1653522,California,no
101,1985,765.3,61.9726,26.44111,15657.73,0.1691701,California,no
102,1986,920.5,61.4321,27.10224,16023.85,0.1734,California,no
103,1987,918,60.96083,27.77715,16334.12,0.177718,California,no
104,1988,929.8,60.54552,28.46425,16598.35,0.1821141,California,no
105,1989,977.7,60.14187,29.21816,16674.29,0.1869376,California,no
106,1990,1045.2,60.53821,29.95011,16679.42,0.1920211,California,no
107,1991,1089.9,59.86163,30.41411,16099.54,0.194996,California,no
108,1992,1119.7,59.40587,30.87592,16132.62,0.1979568,California,no
109,1993,1077.8,58.84095,31.14721,15796.7,0.1996962,California,no
110,1994,1013,58.34014,31.31718,15773.86,0.2007859,California,no
111,1995,966,57.91899,31.49352,16020.38,0.2019165,California,no
112,1996,862.7,57.64225,31.78083,16232.5,0.2037585,California,no
113,1997,798.3,57.71132,32.21771,16606.78,0.2065595,California,no
114,1998,703.7,57.91366,32.68279,17269.3,0.2095414,California,no
115,1999,627.2,58.14976,33.14512,17853.89,0.2125055,California,no
116,1977,511.9,72.37897,2.696142,12440.15,0.0259829,Colorado,no
117,1978,498,72.41429,2.766748,13047.59,0.0266633,Colorado,no
118,1979,522.1,72.49131,2.849234,13165.71,0.0274583,Colorado,no
119,1980,528.6,72.37984,2.908803,13068.08,0.0280786,Colorado,no
120,1981,531.7,72.38009,2.977895,13306.54,0.0287455,Colorado,no
121,1982,504.2,72.21121,3.061569,13359.24,0.0295533,Colorado,no
122,1983,476.4,71.82253,3.133628,13570,0.0302488,Colorado,no
123,1984,457.8,71.46875,3.169987,14146.21,0.0305998,Colorado,no
124,1985,471,71.09287,3.208717,14275.22,0.0309737,Colorado,no
125,1986,523.6,70.60625,3.237447,14336.75,0.031251,Colorado,no
126,1987,467.5,70.12352,3.260478,14397.71,0.0314733,Colorado,no
127,1988,472.6,69.71968,3.262281,14553.97,0.0314907,Colorado,no
128,1989,471.4,69.4189,3.275821,14894.04,0.0316214,Colorado,no
129,1990,526,70.51215,3.303862,15013.69,0.0318506,Colorado,no
130,1991,559.3,70.5401,3.367567,14976,0.0324647,Colorado,no
131,1992,578.8,70.58759,3.459995,15227.37,0.0333558,Colorado,no
132,1993,567.3,70.76588,3.560884,15520.41,0.0343284,Colorado,no
133,1994,509.6,70.96488,3.65391,15790.66,0.0352252,Colorado,no
134,1995,440.2,71.1405,3.738061,16261.71,0.0360365,Colorado,no
135,1996,404.5,71.1972,3.812716,16656.68,0.0367562,Colorado,no
136,1997,363.2,71.1914,3.891293,17357.57,0.0375137,Colorado,no
137,1998,377.9,71.09323,3.968967,18242.02,0.0382625,Colorado,no
138,1999,340.5,71.19784,4.056133,18856.73,0.0391028,Colorado,no
139,1977,282.3,69.83115,3.085722,14322.53,0.6346611,Connecticut,no
140,1978,315,69.85175,3.091629,14852.16,0.635876,Connecticut,no
141,1979,414.2,69.8198,3.095914,15052.21,0.6367573,Connecticut,no
142,1980,412.5,69.61651,3.113174,15038.75,0.638993,Connecticut,no
143,1981,448.1,69.48974,3.128839,15196.04,0.6422083,Connecticut,no
144,1982,399.5,69.11452,3.139012,15379.9,0.6442964,Connecticut,no
145,1983,375,68.65659,3.162343,15799,0.6490852,Connecticut,no
146,1984,393.8,68.23032,3.180023,16859.22,0.6527141,Connecticut,no
147,1985,402,67.74603,3.201128,17374.54,0.657046,Connecticut,no
148,1986,425.8,67.21826,3.223737,18214.54,0.6616866,Connecticut,no
149,1987,419,66.7266,3.247291,19201.91,0.6665211,Connecticut,no
150,1988,455.4,66.2566,3.271958,20213.89,0.6715842,Connecticut,no
151,1989,511.8,65.67208,3.283409,20714.99,0.6739345,Connecticut,no
152,1990,553.7,67.24413,3.289056,20372.83,0.6788557,Connecticut,no
153,1991,539.7,66.6134,3.28864,19636.85,0.6787698,Connecticut,no
154,1992,495.3,66.03352,3.274997,20330.85,0.675954,Connecticut,no
155,1993,456.2,65.46114,3.272325,20395.78,0.6754025,Connecticut,no
156,1994,455.5,65.08693,3.268346,20517.5,0.6745812,Connecticut,no
157,1995,405.9,64.80254,3.265293,20893.34,0.6739511,Connecticut,no
158,1996,412,64.68811,3.26703,21254.72,0.6743096,Connecticut,no
159,1997,390.9,64.64516,3.268514,22119.4,0.6746159,Connecticut,no
160,1998,366.3,64.35552,3.272563,23133.07,0.6754516,Connecticut,no
161,1999,345.6,64.13895,3.282031,23646.71,0.6774058,Connecticut,no
162,1977,382.1,64.15755,0.591829,13008.97,0.2986019,Delaware,no
163,1978,440.7,64.10252,0.594777,13229.42,0.3000893,Delaware,no
164,1979,537.3,63.96815,0.594982,13101.23,0.3001927,Delaware,no
165,1980,474.8,63.20911,0.594919,13060.83,0.3079291,Delaware,no
166,1981,509,63.02656,0.595971,13012.81,0.3084736,Delaware,no
167,1982,559.8,62.56893,0.599136,13134.26,0.3101118,Delaware,no
168,1983,453.1,62.10418,0.605415,13529,0.3133618,Delaware,no
169,1984,435.7,61.66697,0.611517,14208.54,0.3165202,Delaware,no
170,1985,433.3,61.20521,0.618284,14867.86,0.3200228,Delaware,no
171,1986,427,60.80499,0.627557,15253.93,0.3248225,Delaware,no
172,1987,430.7,60.48524,0.636957,15727.24,0.3296879,Delaware,no
173,1988,451.7,60.15025,0.647585,16260.7,0.3351889,Delaware,no
174,1989,556.5,59.82942,0.658233,16806.79,0.3407003,Delaware,no
175,1990,655.2,61.46357,0.669063,16486.63,0.3422317,Delaware,no
176,1991,714.3,61.005,0.680495,16332,0.3480793,Delaware,no
177,1992,621.2,60.55497,0.690158,16396.74,0.353022,Delaware,no
178,1993,685.9,60.17885,0.699475,16414.05,0.3577877,Delaware,no
179,1994,644.3,59.73326,0.708416,16484.16,0.3623611,Delaware,no
180,1995,725,59.49879,0.718265,16605.71,0.367399,Delaware,no
181,1996,668.3,59.17424,0.72709,16916.4,0.371913,Delaware,no
182,1997,677.9,58.77142,0.735024,17019.75,0.3759713,Delaware,no
183,1998,762.4,58.3795,0.744066,17853.42,0.3805964,Delaware,no
184,1999,734,58.07962,0.753538,18359.2,0.3854414,Delaware,no
185,1977,1426.5,21.91194,0.677229,15950.09,11.10212,District of Columbia,no
186,1978,1411.7,21.99967,0.665051,15964.54,10.90248,District of Columbia,no
187,1979,1608.7,22.06764,0.650015,15552.99,10.65598,District of Columbia,no
188,1980,2010.6,21.78043,0.638284,14927.52,10.13149,District of Columbia,no
189,1981,2274.8,22.42587,0.636894,14828.88,10.10943,District of Columbia,no
190,1982,2123.1,22.97488,0.634171,15278.76,10.06621,District of Columbia,no
191,1983,1915.4,23.42597,0.632439,15532,10.03871,District of Columbia,no
192,1984,1721.5,23.85827,0.633382,16423.83,10.05368,District of Columbia,no
193,1985,1624.8,24.20183,0.634543,16831.9,10.07211,District of Columbia,no
194,1986,1505.3,24.54855,0.638278,17298.27,10.1314,District of Columbia,no
195,1987,1610.3,24.80383,0.636934,17760.13,10.11006,District of Columbia,no
196,1988,1921.6,25.05639,0.63043,18894.48,10.00683,District of Columbia,no
197,1989,2141.9,25.25086,0.624165,19521.73,9.907381,District of Columbia,no
198,1990,2458.2,26.08502,0.603814,20289.77,9.89859,District of Columbia,no
199,1991,2453.3,25.52125,0.593239,20517.71,9.725229,District of Columbia,no
200,1992,2832.8,25.4095,0.584183,21309.23,9.576771,District of Columbia,no
201,1993,2921.8,25.70434,0.576358,21817.18,9.448492,District of Columbia,no
202,1994,2662.6,26.08649,0.564982,22003.3,9.262,District of Columbia,no
203,1995,2661.4,26.44189,0.551273,21611.43,9.037263,District of Columbia,no
204,1996,2469.8,27.00581,0.538273,21844.64,8.824147,District of Columbia,no
205,1997,2024.2,27.66836,0.528752,22473.37,8.668065,District of Columbia,no
206,1998,1718.5,28.44929,0.521426,22892.34,8.547967,District of Columbia,no
207,1999,1627.7,29.27457,0.519,23399.74,8.508196,District of Columbia,no
208,1977,686.8,60.00757,8.856183,11524.44,0.1637305,Florida,no
209,1978,765.6,59.9397,9.102032,12103.29,0.1682757,Florida,no
210,1979,833.9,60.12845,9.426159,12181.99,0.1742681,Florida,no
211,1980,983.5,59.85242,9.839835,12149.24,0.1817043,Florida,no
212,1981,965.1,59.93149,10.19278,12269.72,0.1882218,Florida,no
213,1982,896.8,59.84478,10.47141,12166.25,0.1933671,Florida,no
214,1983,826.7,59.69122,10.74984,12637,0.1985088,Florida,no
215,1984,868,59.50279,11.03992,13199.68,0.2038653,Florida,no
216,1985,941.1,59.25166,11.35112,13616.83,0.2096121,Florida,no
217,1986,1036.5,58.90889,11.6675,14019.51,0.2154544,Florida,no
218,1987,1024.4,58.623,11.99729,14395.95,0.2215443,Florida,no
219,1988,1117.7,58.21194,12.3064,14813.31,0.2272523,Florida,yes
220,1989,1109.4,57.87771,12.63771,15293.13,0.2333704,Florida,yes
221,1990,1244.3,59.33008,13.01836,15129.51,0.2410942,Florida,yes
222,1991,1184.3,58.97432,13.2895,14758.16,0.2461155,Florida,yes
223,1992,1207.2,58.52879,13.50478,14669.31,0.2501023,Florida,yes
224,1993,1206,57.94917,13.71359,14918.23,0.2539695,Florida,yes
225,1994,1146.8,57.54924,13.9618,15012.48,0.2585662,Florida,yes
226,1995,1071,57.33018,14.1854,15376.85,0.2627072,Florida,yes
227,1996,1051,57.11045,14.42691,15631.16,0.2671799,Florida,yes
228,1997,1023.6,57.02666,14.68335,15972.74,0.271929,Florida,yes
229,1998,938.7,57.05493,14.90823,16454.84,0.2760937,Florida,yes
230,1999,854,57.11421,15.11124,16613.04,0.2798534,Florida,yes
231,1977,439.8,55.27949,5.219699,10227.32,0.0898817,Georgia,no
232,1978,482.8,55.13272,5.295753,10679.19,0.0911913,Georgia,no
233,1979,558.7,54.98414,5.401385,10594.58,0.0930103,Georgia,no
234,1980,555.3,54.87352,5.486174,10245.07,0.094498,Georgia,no
235,1981,548.2,54.79004,5.568343,10340.76,0.0959133,Georgia,no
236,1982,478.2,54.68195,5.649793,10375.73,0.0973163,Georgia,no
237,1983,456.7,54.56527,5.728254,10849,0.0986677,Georgia,no
238,1984,478.6,54.50443,5.834957,11685.42,0.1005057,Georgia,no
239,1985,507.2,54.40846,5.962668,12170.42,0.1027055,Georgia,no
240,1986,587.6,54.31058,6.08466,12716.91,0.1048067,Georgia,no
241,1987,576.5,54.23222,6.20847,12997.14,0.1069393,Georgia,no
242,1988,665.3,54.05778,6.316153,13367.59,0.1087941,Georgia,no
243,1989,735.8,53.84161,6.411085,13492.81,0.1104293,Georgia,no
244,1990,756.3,55.20558,6.506531,13516.36,0.1123385,Georgia,yes
245,1991,738.2,54.94827,6.621279,13369.26,0.1143196,Georgia,yes
246,1992,733.2,54.66885,6.759474,13726.43,0.1167056,Georgia,yes
247,1993,723.1,54.34254,6.894092,13868.88,0.1190299,Georgia,yes
248,1994,667.7,54.12839,7.0459,14226.24,0.1216509,Georgia,yes
249,1995,657.1,53.94292,7.188538,14538.42,0.1241136,Georgia,yes
